Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R006915,"Evans, Gerard ","Evans & Associates, LLC",Maryland Marine Contractors Association,12/17/20-10/31/21
R006926,"Evans, Hayley ","Evans & Associates, LLC",Maryland Marine Contractors Association,12/17/20-10/31/21
R006936,"Evans, Hayley ","Evans & Associates, LLC",Direct Primary Care Coalition,12/17/20-10/31/21
R001805,"Evans, Hayley ","Evans & Associates, LLC",Association of Dental Support Organizations,11/01/19-10/31/20
R002386,"Evans, Gerard ","Evans & Associates, LLC","Northeast Maglev, LLC, The",11/01/19-10/31/20
R002668,"Evans, Hayley ","Evans & Associates, LLC",Holistic Industries,11/19/19-10/31/20
R010840,"Evans, Hayley ","Evans & Associates, LLC",Corridor Wine and Spirits,11/12/21-10/31/22
R011318,"Evans, Hayley ","Evans & Associates, LLC",Prince George's County Council,01/06/22-10/31/22
R011323,"Evans, Hayley ","Evans & Associates, LLC",Maryland Marine Contractors Association,01/06/22-10/31/22
R010337,"Evans, Hayley ","Evans & Associates, LLC",Rush Street Interactive LP,11/01/21-10/31/22
R010336,"Evans, Hayley ","Evans & Associates, LLC",Gemcraft Homes,11/01/21-10/31/22
R011319,"Evans, Hayley ","Evans & Associates, LLC","Pax-Edwards, LLC",01/06/22-10/31/22
R010301,"Evans, Hayley ","Evans & Associates, LLC",Together for Transportation Funding Coalition,11/01/21-10/31/22
R010308,"Evans, Hayley ","Evans & Associates, LLC",Association of Dental Support Organizations,11/01/21-10/31/22
R011326,"Evans, Hayley ","Evans & Associates, LLC","Fraternal Order of Police, Lodge 89",01/06/22-10/31/22
R010845,"Evans, Hayley ","Evans & Associates, LLC","RiseTek Global, LLC",11/12/21-10/31/22
R010333,"Evans, Hayley ","Evans & Associates, LLC",Maryland Radiological Society,11/01/21-10/31/22
R011036,"Evans, Hayley ","Evans & Associates, LLC",Bennett's Curse,12/01/21-10/31/22
R011317,"Evans, Hayley ","Evans & Associates, LLC",Silver Diner,01/06/22-10/31/22
R011627,"Evans, Hayley ","Evans & Associates, LLC","Vesta Solutions, Inc.",02/04/22-10/31/22
R011625,"Evans, Gerard ","Evans & Associates, LLC","Vesta Solutions, Inc.",02/04/22-10/31/22
R010190,"Evans, Gerard ","Evans & Associates, LLC",Gemcraft Homes,11/01/21-10/31/22
R011309,"Evans, Gerard ","Evans & Associates, LLC",Maryland Naturopathic Doctors Association,01/06/22-10/31/22
R011311,"Evans, Gerard ","Evans & Associates, LLC",Maryland Film Industry Coalition,01/06/22-10/31/22
R010831,"Evans, Gerard ","Evans & Associates, LLC",Beltway Fine Wine,11/12/21-10/31/22
R011313,"Evans, Gerard ","Evans & Associates, LLC","Fraternal Order of Police, Lodge 89",01/06/22-10/31/22
R011330,"Evans, Gerard ","Evans & Associates, LLC","Synergics Energy Services, LLC",01/06/22-10/31/22
R010137,"Evans, Gerard ","Evans & Associates, LLC",Conduent,11/01/21-10/31/22
R011301,"Evans, Gerard ","Evans & Associates, LLC",Verizon Communications,01/06/22-10/31/22
R011304,"Evans, Gerard ","Evans & Associates, LLC","Pax-Edwards, LLC",01/06/22-10/31/22
R010174,"Evans, Gerard ","Evans & Associates, LLC",OpenGov,11/01/21-10/31/22
R007212,"Evans, Gerard ","Evans & Associates, LLC","Chimes, The",01/18/21-10/31/21
R014217,"Evans, Gerard ","Evans & Associates, LLC","RiseTek Global, LLC",11/01/22-10/31/23
R014173,"Evans, Hayley ","Evans & Associates, LLC",Association of Dental Support Organizations,11/01/22-10/31/23
R014216,"Evans, Hayley ","Evans & Associates, LLC",Verizon Communications,11/01/22-10/31/23
R016183,"Evans, Hayley ","Evans & Associates, LLC",Maryland Marine Contractors Association,01/24/23-10/31/23
R012319,"Evans, Hayley ","Evans & Associates, LLC","Synergics Energy Services, LLC",01/24/23-10/31/23
R014166,"Evans, Hayley ","Evans & Associates, LLC",Maryland Radiological Society,11/01/22-10/31/23
R014791,"Evans, Hayley ","Evans & Associates, LLC",Protect Perryman Peninsula,11/04/22-10/31/23
R014161,"Evans, Hayley ","Evans & Associates, LLC",Radnet,11/01/22-10/31/23
R015833,"Evans, Hayley ","Evans & Associates, LLC",Chesapeake Employers' Insurance Company,01/04/23-10/31/23
R014764,"Evans, Hayley ","Evans & Associates, LLC",Beltway Fine Wine,11/04/22-10/31/23
R014767,"Evans, Hayley ","Evans & Associates, LLC",Carvana,11/04/22-10/31/23
R012318,"Evans, Hayley ","Evans & Associates, LLC","BingoRama, Inc.",12/20/22-10/31/23
R014188,"Evans, Hayley ","Evans & Associates, LLC","Sims ARG, Inc.",11/01/22-10/31/23
R014518,"Evans, Gerard ","Evans & Associates, LLC",Verizon Communications,11/01/22-10/31/23
R014942,"Evans, Gerard ","Evans & Associates, LLC",Beltway Fine Wine,11/01/22-10/31/23
R016177,"Evans, Gerard ","Evans & Associates, LLC","Maryland Crime Victims' Resource Center, Inc.",01/24/23-10/31/23
R016176,"Evans, Gerard ","Evans & Associates, LLC",Maryland Marine Contractors Association,01/24/23-10/31/23
R014243,"Evans, Gerard ","Evans & Associates, LLC",Maryland Asphalt Association,11/01/22-10/31/23
R014239,"Evans, Gerard ","Evans & Associates, LLC","Northeast Maglev, LLC, The",11/01/22-10/31/23
R014525,"Evans, Gerard ","Evans & Associates, LLC","Motorola Solutions, Inc.",11/01/22-10/31/23
R016748,"Evans, Gerard ","Evans & Associates, LLC","MJC Racing, LLC",06/15/23-10/31/23
R014951,"Evans, Gerard ","Evans & Associates, LLC",Protect Perryman Peninsula,11/01/22-10/31/23
R014949,"Evans, Gerard ","Evans & Associates, LLC","Pax-Edwards, LLC",11/01/22-10/31/23
R023848,"Evans, Gerard ","Evans & Associates, LLC",Chimes,11/01/24-10/31/25
R024213,"Evans, Gerard ","Evans & Associates, LLC",Maryland Asphalt Association,11/07/24-10/31/25
R024454,"Evans, Gerard ","Evans & Associates, LLC",Radnet,11/12/24-10/31/25
R024543,"Evans, Hayley ","Evans & Associates, LLC","Motorola Solutions, Inc.",11/18/24-10/31/25
R024537,"Evans, Hayley ","Evans & Associates, LLC",Arundel Amusements/Bingo World,11/18/24-10/31/25
R020026,"Evans, Hayley ","Evans & Associates, LLC","Motorola Solutions, Inc.",11/27/23-10/31/24
R019781,"Evans, Hayley ","Evans & Associates, LLC",OpenGov,11/16/23-10/31/24
R020035,"Evans, Hayley ","Evans & Associates, LLC",Sims,11/27/23-10/31/24
R020175,"Evans, Hayley ","Evans & Associates, LLC","NRG Energy, Inc.",12/04/23-10/31/24
R020656,"Evans, Hayley ","Evans & Associates, LLC",Central Atlantic Precast Concrete Association,01/10/24-10/31/24
R019019,"Evans, Hayley ","Evans & Associates, LLC",Carvana,11/01/23-10/31/24
R021534,"Evans, Hayley ","Evans & Associates, LLC","Maruti, LLC",07/08/24-10/31/24
R020033,"Evans, Hayley ","Evans & Associates, LLC",Silver Diner,11/27/23-10/31/24
R021035,"Evans, Gerard ","Evans & Associates, LLC","STL BWI, LLC",02/05/24-10/31/24
R020639,"Evans, Gerard ","Evans & Associates, LLC",Prince George's County Council,01/10/24-10/31/24
R021558,"Evans, Gerard ","Evans & Associates, LLC","Surety & Fidelity Association of America, The",07/16/24-10/31/24
R021051,"Evans, Gerard ","Evans & Associates, LLC",District of Columbia Fire Fighters Association,02/05/24-10/31/24
R019593,"Evans, Gerard ","Evans & Associates, LLC","Synergics Energy Services, LLC",11/14/23-10/31/24
R019011,"Evans, Gerard ","Evans & Associates, LLC",Radnet,11/01/23-10/31/24
R020164,"Evans, Gerard ","Evans & Associates, LLC","Maryland Evolution, The",12/04/23-10/31/24
R024857,"Evans, Gerard ","Evans & Associates, LLC",Silver Diner,12/06/24-10/31/25
R024862,"Evans, Gerard ","Evans & Associates, LLC",University of Maryland Charles Regional Medical Center,12/06/24-10/31/25
R024860,"Evans, Gerard ","Evans & Associates, LLC",Chesapeake Amusements,12/06/24-10/31/25
R024870,"Evans, Hayley ","Evans & Associates, LLC","Maryland Crime Victims' Resource Center, Inc.",12/06/24-10/31/25
R024869,"Evans, Hayley ","Evans & Associates, LLC",Consol Energy,12/06/24-10/31/25
R024878,"Evans, Hayley ","Evans & Associates, LLC","Maruti, LLC",12/06/24-10/31/25
R024872,"Evans, Hayley ","Evans & Associates, LLC",OpenGov,12/06/24-10/31/25
R025054,"Evans, Hayley ","Evans & Associates, LLC",Chesapeake Amusements,12/19/24-10/31/25
R025053,"Evans, Hayley ","Evans & Associates, LLC",Central Atlantic Precast Concrete Association,12/19/24-10/31/25
R025051,"Evans, Hayley ","Evans & Associates, LLC",Corridor Wine and Spirits,12/19/24-10/31/25
R025050,"Evans, Hayley ","Evans & Associates, LLC",Beltway Fine Wine,12/19/24-10/31/25
R025244,"Evans, Gerard ","Evans & Associates, LLC",Medical Mutual Liability Insurance Society of Maryland,01/07/25-10/31/25
R025517,"Evans, Hayley ","Evans & Associates, LLC","Wetlands Resource Center, LLC",01/23/25-10/31/25
R025896,"Evans, Hayley ","Evans & Associates, LLC","Synergics Energy Services, LLC",03/03/25-10/31/25
R025950,"Evans, Gerard ","Evans & Associates, LLC",CALSTART,03/19/25-10/31/25
R020653,"Evans, Hayley ","Evans & Associates, LLC","Quantum Loophole, Inc.",01/10/24-10/31/24
R025952,"Evans, Gerard ","Evans & Associates, LLC","Merida Capital Partners II, LP",04/03/25-10/31/25
R026009,"Evans, Edward Darryl",The Cordish Companies,"Cordish Companies, The",04/11/25-10/31/25
R021809,"Evans-Goldstein, Anna ",Baltimore Roundtable for Economic Democracy c/o Seed Commons,Baltimore Roundtable for Economic Democracy c/o SEED Commons,11/01/24-10/31/25
R016995,"Evans-Goldstein, Anna ",Baltimore Roundtable for Economic Democracy c/o Seed Commons,Baltimore Roundtable for Economic Democracy c/o SEED Commons,11/01/23-10/31/24
R016635,"Ewer, Brett ","CrossFit, LLC",CrossFit LLC,03/22/23-04/26/23
R016791,Exact Sciences,"Douglas, Ashli ",Exact Sciences,07/01/23-10/31/23
R002712,"Exum, Camille A","Community Advocacy Enterprises, LLC","Community Advocacy Enterprises, LLC",01/07/20-05/01/20
R004359,"Fannon, Mary Pat ",Public School Superintendents' Association of Maryland,Public School Superintendents' Association of Maryland,11/01/20-10/31/21
R020111,"Fannon, Mary Pat",PSSAM,Public School Superintendents' Association of Maryland,11/30/23-10/31/24
R025508,"Fannon, Mary Pat",PSSAM,Public School Superintendents' Association of Maryland,01/18/25-10/31/25
R002914,"Fannon, Mary Pat ",Public School Superintendents' Association of Maryland,Public School Superintendents' Association of Maryland,12/17/19-10/31/20
R008796,"Fannon, Mary Pat",PSSAM,Public School Superintendents' Association of Maryland,11/01/21-10/31/22
R015581,"Fannon, Mary Pat",PSSAM,Public School Superintendents' Association of Maryland,12/02/22-10/31/23
R006264,"Faulkner, Rachael Gunde",Public Policy Partners,"Coordinating Center, The",11/01/20-04/30/21
R006266,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Nurses Association,11/01/20-04/30/21
R006270,"Faulkner, Rachael Gunde",Public Policy Partners,"National Association of Social Workers, MD Chapter",11/01/20-04/30/21
R002364,"Faulkner, Rachael Gunde",Public Policy Partners,Licensed Clinical Professional Counselors of Maryland,11/01/19-10/31/20
R002420,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Nurses Association,11/01/19-10/31/20
R006271,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Occupational Therapy Association,11/01/20-04/30/21
R006276,"Faulkner, Rachael Gunde",Public Policy Partners,Planned Parenthood of Maryland,11/01/20-04/30/21
R002362,"Faulkner, Rachael Gunde",Public Policy Partners,"Coordinating Center, The",11/01/19-10/31/20
R002423,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Dental Action Coalition,11/01/19-10/31/20
R002424,"Faulkner, Rachael Gunde",Public Policy Partners,Planned Parenthood of Maryland,11/01/19-10/31/20
R006272,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Affiliate of the American College of Nurse Midwive,11/01/20-04/30/21
R003862,"Faulkner, Rachael Gunde",Public Policy Partners,"National Association of Social Workers, MD Chapter",04/28/20-10/31/20
R002360,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Assembly on School Based Health Care,11/01/19-10/31/20
R002365,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Occupational Therapy Association,11/01/19-10/31/20
R006275,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Dental Action Coalition,11/01/20-04/30/21
R002421,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Affiliate of the American College of Nurse Midwive,11/01/19-10/31/20
R006262,"Faulkner, Rachael Gunde",Public Policy Partners,Licensed Clinical Professional Counselors of Maryland,11/01/20-04/30/21
R006269,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Assembly on School Based Health Care,11/01/20-04/30/21
R006274,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland School Psychologists' Association,11/01/20-04/30/21
R004001,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland School Psychologists' Association,06/26/20-10/31/20
R002418,"Faulkner, Rachael Gunde",Public Policy Partners,Maryland Association of Centers for Independent Living,11/01/19-01/01/20
R003602,"Favazza, John F",Manis Canning & Associates,ADTALEM Global Eduation,02/18/20-10/31/20
R007510,"Favazza, John F",Manis Canning & Associates,Coalition of Maryland Mortgage Attorneys,02/19/21-10/31/21
R007757,"Favazza, John F",Manis Canning & Associates,RSM US LLP,05/10/21-10/31/21
R007777,"Favazza, John F",Manis Canning & Associates,AmplioSpeech Inc.,05/17/21-10/31/21
R007971,"Favazza, John F",Manis Canning & Associates,Maryland Academy of Advanced Practice Clinicians,09/01/21-10/31/21
R004087,"Favazza, John F",Manis Canning & Associates,BMG Money,09/09/20-10/31/20
R004288,"Favazza, John F",Manis Canning & Associates,Entertainment Software Association,11/01/20-10/31/21
R004290,"Favazza, John F",Manis Canning & Associates,Service Properties Trust,12/14/20-10/31/21
R004308,"Favazza, John F",Manis Canning & Associates,Maryland Wholesale Medical Cannabis Trade Association,11/01/20-10/31/21
R004310,"Favazza, John F",Manis Canning & Associates,"Motion Picture Association, Inc.",11/01/20-10/31/21
R004311,"Favazza, John F",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",12/07/20-10/31/21
R004314,"Favazza, John F",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/20-10/31/21
R004316,"Favazza, John F",Manis Canning & Associates,RAI Services Company,11/01/20-10/31/21
R004352,"Favazza, John F",Manis Canning & Associates,"Toyota Motor North America, Inc.",12/07/20-10/31/21
R000289,"Favazza, John F",Manis Canning & Associates,"FRAPORT Maryland, Inc.",11/18/19-10/31/20
R000290,"Favazza, John F",Manis Canning & Associates,Alkermes,11/01/19-10/31/20
R000298,"Favazza, John F",Manis Canning & Associates,American Chemistry Council,01/06/20-10/31/20
R000316,"Favazza, John F",Manis Canning & Associates,"Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)",11/01/19-10/31/20
R000321,"Favazza, John F",Manis Canning & Associates,"Maryland Beer Wholesalers Association, Inc.",11/01/19-10/31/20
R000329,"Favazza, John F",Manis Canning & Associates,"Maryland Works, Inc.",12/16/19-10/31/20
R000330,"Favazza, John F",Manis Canning & Associates,Maryland Wholesale Medical Cannabis Trade Association,11/18/19-10/31/20
R000337,"Favazza, John F",Manis Canning & Associates,Pfizer Inc.,11/01/19-10/31/20
R000338,"Favazza, John F",Manis Canning & Associates,RAI Services Company,11/01/19-10/31/20
R000340,"Favazza, John F",Manis Canning & Associates,"Synergics Wind Energy, LLC",11/18/19-10/31/20
R000342,"Favazza, John F",Manis Canning & Associates,"TEKsystems, Inc.",11/01/19-10/31/20
R000343,"Favazza, John F",Manis Canning & Associates,"T-Mobile USA, Inc.",11/18/19-10/31/20
R000344,"Favazza, John F",Manis Canning & Associates,"Northeast Maglev, LLC, The",11/18/19-10/31/20
R008100,"Favazza, John F",Manis Canning & Associates,Maryland Patient Care and Access Coalition,11/01/21-10/31/22
R008280,"Favazza, John F",Manis Canning & Associates,Baltimore Urban Revitalization LLC,11/23/21-10/31/22
R008077,"Favazza, John F",Manis Canning & Associates,"Adventist HealthCare, Inc.",11/01/21-10/31/22
R008281,"Favazza, John F",Manis Canning & Associates,"Baltimore Washington Rapid Rail, LLC",11/01/21-10/31/22
R008093,"Favazza, John F",Manis Canning & Associates,Entertainment Software Association,12/07/21-10/31/22
R008116,"Favazza, John F",Manis Canning & Associates,"Sagamore Whiskey, LLC",11/01/21-10/31/22
R008117,"Favazza, John F",Manis Canning & Associates,"Synergics Wind Energy, LLC",11/01/21-10/31/22
R008097,"Favazza, John F",Manis Canning & Associates,Maryland Association of Certified Public Accountants,11/01/21-10/31/22
R008102,"Favazza, John F",Manis Canning & Associates,"Maryland Works, Inc.",11/01/21-10/31/22
R000311,"Favazza, John F",Manis Canning & Associates,Chesapeake Urology Associates,11/18/19-10/31/20
R008090,"Favazza, John F",Manis Canning & Associates,Chesapeake Urology Associates,11/01/21-10/31/22
R000346,"Favazza, John F",Manis Canning & Associates,"Tremco, Inc.",11/01/19-10/31/20
R010765,"Favazza, John F",Manis Canning & Associates,"Parsons Transportation Group, Inc.",11/15/21-10/31/22
R012220,"Favazza, John F",Manis Canning & Associates,"FRAPORT Maryland, Inc.",11/01/22-10/31/23
R012229,"Favazza, John F",Manis Canning & Associates,"Baltimore Washington Rapid Rail, LLC",11/01/22-10/31/23
R012244,"Favazza, John F",Manis Canning & Associates,Maryland Manufacturing-Extension-Partnership,11/30/22-10/31/23
R012248,"Favazza, John F",Manis Canning & Associates,"Motion Picture Association, Inc.",01/09/23-10/31/23
R012236,"Favazza, John F",Manis Canning & Associates,Service Properties Trust,11/30/22-10/31/23
R013150,"Favazza, John F",Manis Canning & Associates,Maryland Humanities,11/30/22-10/31/23
R012258,"Favazza, John F",Manis Canning & Associates,Teach for America,11/01/22-10/31/23
R012238,"Favazza, John F",Manis Canning & Associates,Industrial Logistics Properties Trust,11/30/22-10/31/23
R012250,"Favazza, John F",Manis Canning & Associates,Northrop Grumman Corporation,11/01/22-10/31/23
R021736,"Favazza, John F",Manis Canning & Associates,RAI Services Company,11/01/24-10/31/25
R021859,"Favazza, John F",Manis Canning & Associates,Washington Suburban Sanitary Commission,11/04/24-10/31/25
R016981,"Favazza, John F",Manis Canning & Associates,Northrop Grumman Corporation,11/01/23-10/31/24
R016963,"Favazza, John F",Manis Canning & Associates,"Maryland Beer Wholesalers Association, Inc.",11/01/23-10/31/24
R017405,"Favazza, John F",Manis Canning & Associates,Baltimore Cyber Range LLC dba BCR Cyber,11/13/23-10/31/24
R016958,"Favazza, John F",Manis Canning & Associates,Junior Achievement of Central Maryland,11/10/23-10/31/24
R016947,"Favazza, John F",Manis Canning & Associates,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/23-10/31/24
R020684,"Favazza, John F",Manis Canning & Associates,Boys & Girls Clubs of America,01/08/24-10/31/24
R021514,"Favazza, John F",Manis Canning & Associates,Compass Pathways,06/24/24-10/31/24
R016931,"Favazza, John F",Manis Canning & Associates,"FRAPORT Maryland, Inc.",01/12/24-10/31/24
R016935,"Favazza, John F",Manis Canning & Associates,American Chemistry Council,11/10/23-10/31/24
R016941,"Favazza, John F",Manis Canning & Associates,BMG Money,11/20/23-10/31/24
R016967,"Favazza, John F",Manis Canning & Associates,Maryland Orthopaedic Association,11/06/23-10/31/24
R016978,"Favazza, John F",Manis Canning & Associates,Maryland Wholesale Cannabis Trade Association,11/13/23-10/31/24
R021125,"Favazza, John F",Manis Canning & Associates,Industrial Logistics Properties Trust,02/15/24-10/31/24
R016938,"Favazza, John F",Manis Canning & Associates,Baltimore Urban Revitalization LLC,11/13/23-10/31/24
R021151,"Favazza, John F",Manis Canning & Associates,"Phantom Fireworks Showrooms, LLC",02/14/24-10/31/24
R016993,"Favazza, John F",Manis Canning & Associates,Teach for America,11/01/23-10/31/24
R016959,"Favazza, John F",Manis Canning & Associates,Holcim Participations (US) Inc.,11/01/23-10/31/24
R016992,"Favazza, John F",Manis Canning & Associates,"Synergics Wind Energy, LLC",11/13/23-10/31/24
R016969,"Favazza, John F",Manis Canning & Associates,"Maryland Works, Inc.",11/01/23-10/31/24
R024289,"Favazza, John F",Manis Canning & Associates,Baltimore Urban Revitalization LLC,11/18/24-10/31/25
R021849,"Favazza, John F",Manis Canning & Associates,Service Properties Trust,11/18/24-10/31/25
R021741,"Favazza, John F",Manis Canning & Associates,Under Armour,11/18/24-10/31/25
R021740,"Favazza, John F",Manis Canning & Associates,"Toyota Motor North America, Inc.",01/08/25-10/31/25
R021726,"Favazza, John F",Manis Canning & Associates,"Constellation Energy Generation, LLC",01/08/25-10/31/25
R025865,"Favazza, John F",Manis Canning & Associates,Empower,02/28/25-10/31/25
R021858,"Favazza, John F",Manis Canning & Associates,"Hikma Specialty USA, Inc. c/o Velocity BioGroup",11/18/24-03/21/25
R000302,"Favazza, John F",Manis Canning & Associates,"Baltimore Washington Rapid Rail, LLC",12/16/19-10/31/20
R000312,"Favazza, John F",Manis Canning & Associates,"Delmarva Poultry Industry, Inc.",11/18/19-10/31/20
R000322,"Favazza, John F",Manis Canning & Associates,Maryland Environmental Service,12/16/19-10/31/20
R000333,"Favazza, John F",Manis Canning & Associates,"Motion Picture Association, Inc.",12/16/19-10/31/20
R000335,"Favazza, John F",Manis Canning & Associates,Northrop Grumman Corporation,11/18/19-10/31/20
R000336,"Favazza, John F",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/19-10/31/20
R000339,"Favazza, John F",Manis Canning & Associates,"Sagamore Whiskey, LLC",11/01/19-10/31/20
R002436,"Favazza, John F",Manis Canning & Associates,Under Armour,11/18/19-10/31/20
R002437,"Favazza, John F",Manis Canning & Associates,"Weller Development Company, LLC",01/20/20-10/31/20
R007464,"Favazza, John F",Manis Canning & Associates,"Phantom Fireworks Showrooms, LLC",02/15/21-10/31/21
R005557,"Favazza, John F",Manis Canning & Associates,Harb Enterprises,11/01/20-10/31/21
R003579,"Favazza, John F",Manis Canning & Associates,"Cigna Corporate Services, LLC",02/18/20-10/31/20
R003854,"Favazza, John F",Manis Canning & Associates,Johns Hopkins,01/15/20-10/31/20
R004058,"Favazza, John F",Manis Canning & Associates,"Big League Advance, LLC",09/09/20-10/31/20
R004230,"Favazza, John F",Manis Canning & Associates,"FRAPORT Maryland, Inc.",11/01/20-10/31/21
R004235,"Favazza, John F",Manis Canning & Associates,Association of Dental Support Organizations,11/10/20-10/31/21
R004304,"Favazza, John F",Manis Canning & Associates,Maryland Jockey Club,11/01/20-10/31/21
R004346,"Favazza, John F",Manis Canning & Associates,"Synergics Wind Energy, LLC",11/01/20-10/31/21
R004349,"Favazza, John F",Manis Canning & Associates,Teach for America,11/01/20-10/31/21
R004570,"Favazza, John F",Manis Canning & Associates,Johns Hopkins,11/17/20-10/31/21
R000308,"Favazza, John F",Manis Canning & Associates,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/19-10/31/20
R008084,"Favazza, John F",Manis Canning & Associates,Association of Dental Support Organizations,11/01/21-10/31/22
R008083,"Favazza, John F",Manis Canning & Associates,"Amplio Learning Technologies, Inc.",11/23/21-10/31/22
R008123,"Favazza, John F",Manis Canning & Associates,"Weller Development Company, LLC",11/23/21-10/31/22
R008932,"Favazza, John F",Manis Canning & Associates,Maryland Manufacturing-Extension-Partnership,11/15/21-10/31/22
R008107,"Favazza, John F",Manis Canning & Associates,"MCNA Healthcare Holdings, LLC",11/15/21-10/31/22
R008108,"Favazza, John F",Manis Canning & Associates,"Motion Picture Association, Inc.",11/01/21-10/31/22
R008111,"Favazza, John F",Manis Canning & Associates,Northrop Grumman Corporation,11/01/21-10/31/22
R008119,"Favazza, John F",Manis Canning & Associates,"Toyota Motor North America, Inc.",12/07/21-10/31/22
R000304,"Favazza, John F",Manis Canning & Associates,"Cable Telecommunications Association of Maryland, Delaware and D.C., Inc.",11/01/19-10/31/20
R012226,"Favazza, John F",Manis Canning & Associates,Avail,11/01/22-04/30/23
R004355,"Favazza, John F",Manis Canning & Associates,"Tremco, Inc.",11/01/20-10/31/21
R008120,"Favazza, John F",Manis Canning & Associates,"Tremco, Inc.",11/01/21-10/31/22
R012242,"Favazza, John F",Manis Canning & Associates,"Maryland Beer Wholesalers Association, Inc.",11/01/22-10/31/23
R012221,"Favazza, John F",Manis Canning & Associates,American Chemistry Council,12/07/22-10/31/23
R012252,"Favazza, John F",Manis Canning & Associates,"Pepco Holdings, Inc.",12/07/22-10/31/23
R015392,"Favazza, John F",Manis Canning & Associates,Johns Hopkins,12/07/22-10/31/23
R012259,"Favazza, John F",Manis Canning & Associates,"Northeast Maglev, LLC, The",11/01/22-10/31/23
R012249,"Favazza, John F",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",12/07/22-10/31/23
R016601,"Favazza, John F",Manis Canning & Associates,"International Health, Racquet & Sportsclub Association",03/17/23-10/31/23
R021844,"Favazza, John F",Manis Canning & Associates,"Adventist HealthCare, Inc.",11/01/24-10/31/25
R021730,"Favazza, John F",Manis Canning & Associates,"Maryland Beer Wholesalers Association, Inc.",11/01/24-10/31/25
R016980,"Favazza, John F",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",11/06/23-10/31/24
R016968,"Favazza, John F",Manis Canning & Associates,Maryland Patient Care and Access Coalition,11/01/23-10/31/24
R017000,"Favazza, John F",Manis Canning & Associates,Washington County Community Coalition,11/01/23-10/31/24
R016950,"Favazza, John F",Manis Canning & Associates,"Chesapeake Urology Associates, LLC",11/20/23-10/31/24
R016979,"Favazza, John F",Manis Canning & Associates,"Motion Picture Association, Inc.",11/06/23-10/31/24
R016983,"Favazza, John F",Manis Canning & Associates,"Pepco Holdings, Inc.",11/13/23-10/31/24
R016997,"Favazza, John F",Manis Canning & Associates,Under Armour,11/13/23-10/31/24
R021717,"Favazza, John F",Manis Canning & Associates,Baltimore Cyber Range LLC dba BCR Cyber,11/18/24-10/31/25
R016951,"Favazza, John F",Manis Canning & Associates,Cigna,01/08/24-10/31/24
R022854,"Favazza, John F",Manis Canning & Associates,Maryland Academy of Advanced Practice Clinicians,12/13/24-10/31/25
R024466,"Favazza, John F",Manis Canning & Associates,Licensed Clinical Professional Counselors of Maryland,12/13/24-10/31/25
R025462,"Favazza, John F",Manis Canning & Associates,Maryland Transportation Policy Coalition,01/21/25-10/31/25
R003387,"Favazza, John F",Manis Canning & Associates,Maryland Automotive Dealers Coalition,01/20/20-10/31/20
R003767,"Favazza, John F",Manis Canning & Associates,Baltimore Ravens,03/06/20-10/31/20
R007681,"Favazza, John F",Manis Canning & Associates,Sirius XM Radio Inc.,04/01/21-10/31/21
R004228,"Favazza, John F",Manis Canning & Associates,"Adventist HealthCare, Inc.",11/10/20-10/31/21
R004231,"Favazza, John F",Manis Canning & Associates,Alkermes,11/01/20-10/31/21
R004233,"Favazza, John F",Manis Canning & Associates,"Allegis Group, Inc.",11/01/20-10/31/21
R004234,"Favazza, John F",Manis Canning & Associates,American Chemistry Council,11/01/20-10/31/21
R004236,"Favazza, John F",Manis Canning & Associates,Baltimore Ravens,11/17/20-10/31/21
R004269,"Favazza, John F",Manis Canning & Associates,"Big League Advance, LLC",11/01/20-10/31/21
R004291,"Favazza, John F",Manis Canning & Associates,Junior Achievement of Central Maryland,11/01/20-10/31/21
R004361,"Favazza, John F",Manis Canning & Associates,"Weller Development Company, LLC",12/07/20-10/31/21
R002433,"Favazza, John F",Manis Canning & Associates,Exelon Corporation,12/16/19-10/31/20
R000301,"Favazza, John F",Manis Canning & Associates,Association of Dental Support Organizations,01/06/20-10/31/20
R000314,"Favazza, John F",Manis Canning & Associates,Service Properties Trust,11/01/19-10/31/20
